module,method,uri,name,action
Operations,GET|HEAD,admin/employees/payroll/reports/detailed/{periodId}/print,employees.payroll.reports.detailed.print,"App\Http\Controllers\PayrollController@detailedReportPrint"
Operations,GET|HEAD,admin/employees/payroll/reports/summary/{periodId?},employees.payroll.reports.summary,"App\Http\Controllers\PayrollController@summaryReport"
Operations,GET|HEAD,admin/employees/payroll/reports/summary/{periodId}/print,employees.payroll.reports.summary.print,"App\Http\Controllers\PayrollController@summaryReportPrint"
Operations,GET|HEAD,admin/employees/reports,employees.reports,"App\Http\Controllers\EmployeeReportController@index"
Operations,GET|HEAD,admin/employees/reports/advances,employees.reports.advances,"App\Http\Controllers\EmployeeReportController@advances"
Operations,GET|HEAD,admin/employees/reports/advances/print,employees.reports.advances.print,"App\Http\Controllers\EmployeeReportController@advancesPrint"
Operations,GET|HEAD,admin/employees/reports/api/advances,employees.reports.api.advances,"App\Http\Controllers\EmployeeReportApiController@advances"
Operations,GET|HEAD,admin/employees/reports/api/advances/export,employees.reports.api.advances.export,"App\Http\Controllers\EmployeeReportApiController@exportAdvancesExcel"
Operations,GET|HEAD,admin/employees/reports/api/bank-transfer,employees.reports.api.bank-transfer,"App\Http\Controllers\EmployeeReportApiController@bankTransfer"
Operations,GET|HEAD,admin/employees/reports/api/bank-transfer/export,employees.reports.api.bank-transfer.export,"App\Http\Controllers\EmployeeReportApiController@exportBankTransferExcel"
Operations,GET|HEAD,admin/employees/reports/api/deductions,employees.reports.api.deductions,"App\Http\Controllers\EmployeeReportApiController@deductions"
Operations,GET|HEAD,admin/employees/reports/api/deductions/export,employees.reports.api.deductions.export,"App\Http\Controllers\EmployeeReportApiController@exportDeductionsExcel"
Operations,GET|HEAD,admin/employees/reports/api/employee-details,employees.reports.api.employee-details,"App\Http\Controllers\EmployeeReportApiController@employeeDetails"
Operations,GET|HEAD,admin/employees/reports/api/employee-details/export,employees.reports.api.employee-details.export,"App\Http\Controllers\EmployeeReportApiController@exportEmployeeDetailsExcel"
Operations,GET|HEAD,admin/employees/reports/api/increments,employees.reports.api.increments,"App\Http\Controllers\EmployeeReportApiController@increments"
Operations,GET|HEAD,admin/employees/reports/api/increments/export,employees.reports.api.increments.export,"App\Http\Controllers\EmployeeReportApiController@exportIncrementsExcel"
Operations,GET|HEAD,admin/employees/reports/api/loans,employees.reports.api.loans,"App\Http\Controllers\EmployeeReportApiController@loans"
Operations,GET|HEAD,admin/employees/reports/api/loans/export,employees.reports.api.loans.export,"App\Http\Controllers\EmployeeReportApiController@exportLoansExcel"
Operations,GET|HEAD,admin/employees/reports/api/new-hiring,employees.reports.api.new-hiring,"App\Http\Controllers\EmployeeReportApiController@newHiring"
Operations,GET|HEAD,admin/employees/reports/api/new-hiring/export,employees.reports.api.new-hiring.export,"App\Http\Controllers\EmployeeReportApiController@exportNewHiringExcel"
Operations,GET|HEAD,admin/employees/reports/api/salary-sheet,employees.reports.api.salary-sheet,"App\Http\Controllers\EmployeeReportApiController@salarySheet"
Operations,GET|HEAD,admin/employees/reports/api/salary-sheet/export,employees.reports.api.salary-sheet.export,"App\Http\Controllers\EmployeeReportApiController@exportSalarySheetExcel"
Operations,GET|HEAD,admin/employees/reports/bank-transfer,employees.reports.bank-transfer,"App\Http\Controllers\EmployeeReportController@bankTransfer"
Operations,GET|HEAD,admin/employees/reports/bank-transfer/print,employees.reports.bank-transfer.print,"App\Http\Controllers\EmployeeReportController@bankTransferPrint"
Operations,GET|HEAD,admin/employees/reports/deductions,employees.reports.deductions,"App\Http\Controllers\EmployeeReportController@deductions"
Operations,GET|HEAD,admin/employees/reports/deductions/print,employees.reports.deductions.print,"App\Http\Controllers\EmployeeReportController@deductionsPrint"
Operations,GET|HEAD,admin/employees/reports/employee-details,employees.reports.employee-details,"App\Http\Controllers\EmployeeReportController@employeeDetails"
Operations,GET|HEAD,admin/employees/reports/employee-details/print,employees.reports.employee-details.print,"App\Http\Controllers\EmployeeReportController@employeeDetailsPrint"
Operations,GET|HEAD,admin/employees/reports/increments,employees.reports.increments,"App\Http\Controllers\EmployeeReportController@increments"
Operations,GET|HEAD,admin/employees/reports/increments/print,employees.reports.increments.print,"App\Http\Controllers\EmployeeReportController@incrementsPrint"
Operations,GET|HEAD,admin/employees/reports/loans,employees.reports.loans,"App\Http\Controllers\EmployeeReportController@loans"
Operations,GET|HEAD,admin/employees/reports/loans/print,employees.reports.loans.print,"App\Http\Controllers\EmployeeReportController@loansPrint"
Operations,GET|HEAD,admin/employees/reports/new-hiring,employees.reports.new-hiring,"App\Http\Controllers\EmployeeReportController@newHiring"
Operations,GET|HEAD,admin/employees/reports/new-hiring/print,employees.reports.new-hiring.print,"App\Http\Controllers\EmployeeReportController@newHiringPrint"
Operations,GET|HEAD,admin/employees/reports/salary-sheet,employees.reports.salary-sheet,"App\Http\Controllers\EmployeeReportController@salarySheet"
Operations,GET|HEAD,admin/employees/reports/salary-sheet/print,employees.reports.salary-sheet.print,"App\Http\Controllers\EmployeeReportController@salarySheetPrint"
Inventory/Store,GET|HEAD,admin/inventory/audits,inventory.audits.index,"App\Http\Controllers\Inventory\StockAuditController@index"
Inventory/Store,POST,admin/inventory/audits,inventory.audits.store,"App\Http\Controllers\Inventory\StockAuditController@store"
Inventory/Store,GET|HEAD,admin/inventory/audits/create,inventory.audits.create,"App\Http\Controllers\Inventory\StockAuditController@create"
Inventory/Store,POST,admin/inventory/audits/{stockAudit}/approve,inventory.audits.approve,"App\Http\Controllers\Inventory\StockAuditController@approve"
Inventory/Store,POST,admin/inventory/audits/{stockAudit}/submit,inventory.audits.submit,"App\Http\Controllers\Inventory\StockAuditController@submit"
Inventory/Store,GET|HEAD,admin/inventory/documents,inventory.documents.index,"App\Http\Controllers\Inventory\WarehouseController@documents"
Inventory/Store,GET|HEAD,admin/inventory/operations,inventory.operations.index,"App\Http\Controllers\Inventory\InventoryOperationController@index"
Inventory/Store,POST,admin/inventory/operations/adjustments,inventory.operations.adjustments.store,"App\Http\Controllers\Inventory\InventoryOperationController@storeAdjustment"
Inventory/Store,POST,admin/inventory/operations/issues,inventory.operations.issues.store,"App\Http\Controllers\Inventory\InventoryOperationController@storeIssue"
Inventory/Store,POST,admin/inventory/operations/opening-balances,inventory.operations.opening-balances.store,"App\Http\Controllers\Inventory\InventoryOperationController@storeOpeningBalance"
Inventory/Store,POST,admin/inventory/operations/transfers,inventory.operations.transfers.store,"App\Http\Controllers\Inventory\InventoryOperationController@storeTransfer"
Inventory/Store,GET|HEAD,admin/inventory/valuation,inventory.valuation.index,"App\Http\Controllers\Inventory\WarehouseController@valuation"
Operations,GET|HEAD,admin/membership/add/guest,membership.addguest,Closure
Operations,GET|HEAD,admin/membership/all,membership.members,"App\Http\Controllers\MembershipController@allMembers"
Operations,GET|HEAD,admin/membership/api/applied-members/search,api.applied-members.search,"App\Http\Controllers\AppliedMemberController@search"
Operations,GET|HEAD,admin/membership/applied-member,applied-member.index,"App\Http\Controllers\AppliedMemberController@index"
Operations,POST,admin/membership/applied-member,applied-member.store,"App\Http\Controllers\AppliedMemberController@store"
Operations,POST,admin/membership/applied-member/restore/{id},applied-member.restore,"App\Http\Controllers\AppliedMemberController@restore"
Operations,GET|HEAD,admin/membership/applied-member/trashed,applied-member.trashed,"App\Http\Controllers\AppliedMemberController@trashed"
Operations,PUT,admin/membership/applied-member/{id},applied-member.update,"App\Http\Controllers\AppliedMemberController@update"
Operations,DELETE,admin/membership/applied-member/{id},applied-member.destroy,"App\Http\Controllers\AppliedMemberController@destroy"
Operations,GET|HEAD,admin/membership/cards,cards.dashboard,"App\Http\Controllers\CardController@index"
Operations,GET|HEAD,admin/membership/corporate-companies,corporate-companies.index,"App\Http\Controllers\CorporateCompanyController@index"
Operations,POST,admin/membership/corporate-companies,corporate-companies.store,"App\Http\Controllers\CorporateCompanyController@store"
Operations,GET|HEAD,admin/membership/corporate-companies/create,corporate-companies.create,"App\Http\Controllers\CorporateCompanyController@create"
Operations,POST,admin/membership/corporate-companies/restore/{id},corporate-companies.restore,"App\Http\Controllers\CorporateCompanyController@restore"
Operations,GET|HEAD,admin/membership/corporate-companies/trashed,corporate-companies.trashed,"App\Http\Controllers\CorporateCompanyController@trashed"
Operations,PUT|PATCH,admin/membership/corporate-companies/{corporate_company},corporate-companies.update,"App\Http\Controllers\CorporateCompanyController@update"
Operations,DELETE,admin/membership/corporate-companies/{corporate_company},corporate-companies.destroy,"App\Http\Controllers\CorporateCompanyController@destroy"
Operations,GET|HEAD,admin/membership/corporate-companies/{corporate_company}/edit,corporate-companies.edit,"App\Http\Controllers\CorporateCompanyController@edit"
Operations,GET|HEAD,admin/membership/create,membership.add,"App\Http\Controllers\MembershipController@create"
Operations,GET|HEAD,admin/membership/dashboard,membership.dashboard,"App\Http\Controllers\MembershipController@index"
Operations,GET|HEAD,admin/membership/edit/{id},membership.edit,"App\Http\Controllers\MembershipController@edit"
Operations,GET|HEAD,admin/membership/family-members-archive,membership.family-members,"App\Http\Controllers\FamilyMembersArchiveConroller@index"
Operations,POST,admin/membership/family-members-archive/bulk-expire,membership.family-expiry.bulk-expire,"App\Http\Controllers\FamilyMembersArchiveConroller@bulkExpire"
Operations,GET|HEAD,admin/membership/family-members-archive/member/{member}/extend,membership.family-expiry.show,"App\Http\Controllers\FamilyMembersArchiveConroller@show"
Operations,POST,admin/membership/family-members-archive/member/{member}/extend,membership.family-expiry.extend,"App\Http\Controllers\FamilyMembersArchiveConroller@extendExpiry"
Operations,POST,admin/membership/family-members-archive/restore/{id},membership.family-members.restore,"App\Http\Controllers\FamilyMembersArchiveConroller@restore"
Operations,GET|HEAD,admin/membership/family-members-archive/search,membership.family-members.search,"App\Http\Controllers\FamilyMembersArchiveConroller@search"
Operations,GET|HEAD,admin/membership/family-members-archive/trashed,membership.family-members.trashed,"App\Http\Controllers\FamilyMembersArchiveConroller@trashed"
Operations,GET|HEAD,admin/membership/finance,membership.finance,Closure
Operations,GET|HEAD,admin/membership/full/detail,membership.detail2,Closure
Operations,GET|HEAD,admin/membership/guest/history,membership.guest,Closure
Operations,GET|HEAD,admin/membership/maintanance-fee-revenue,membership.maintanance-fee-revenue,"App\Http\Controllers\MemberFeeRevenueController@maintenanceFeeRevenue"
Operations,GET|HEAD,admin/membership/maintanance-fee-revenue/data,membership.maintanance-fee-revenue.data,"App\Http\Controllers\MemberFeeRevenueController@maintenanceFeeRevenueData"
Operations,GET|HEAD,admin/membership/maintanance-fee-revenue/print,membership.maintanance-fee-revenue.print,"App\Http\Controllers\MemberFeeRevenueController@maintenanceFeeRevenuePrint"
Operations,GET|HEAD,admin/membership/member-card-detail-report,membership.member-card-detail-report,"App\Http\Controllers\MemberFeeRevenueController@memberCardDetailReport"
Operations,GET|HEAD,admin/membership/member-card-detail-report/data,membership.member-card-detail-report.data,"App\Http\Controllers\MemberFeeRevenueController@memberCardDetailReportData"
Operations,GET|HEAD,admin/membership/member-card-detail-report/print,membership.member-card-detail-report.print,"App\Http\Controllers\MemberFeeRevenueController@memberCardDetailReportPrint"
Operations,GET|HEAD,admin/membership/member-categories,member-categories.index,"App\Http\Controllers\MemberCategoryController@index"
Operations,POST,admin/membership/member-categories,member-categories.store,"App\Http\Controllers\MemberCategoryController@store"
Operations,GET|HEAD,admin/membership/member-categories/create,member-categories.create,"App\Http\Controllers\MemberCategoryController@create"
Operations,POST,admin/membership/member-categories/restore/{id},member-categories.restore,"App\Http\Controllers\MemberCategoryController@restore"
Operations,GET|HEAD,admin/membership/member-categories/trashed,member-categories.trashed,"App\Http\Controllers\MemberCategoryController@trashed"
Operations,PUT|PATCH,admin/membership/member-categories/{member_category},member-categories.update,"App\Http\Controllers\MemberCategoryController@update"
Operations,DELETE,admin/membership/member-categories/{member_category},member-categories.destroy,"App\Http\Controllers\MemberCategoryController@destroy"
Operations,GET|HEAD,admin/membership/member-categories/{member_category}/edit,member-categories.edit,"App\Http\Controllers\MemberCategoryController@edit"
Operations,GET|HEAD,admin/membership/member-types,member-types.index,"App\Http\Controllers\App\MemberTypeController@index"
Operations,POST,admin/membership/member-types/restore/{id},member-types.restore,"App\Http\Controllers\App\MemberTypeController@restore"
Operations,POST,admin/membership/member-types/store,member-types.store,"App\Http\Controllers\App\MemberTypeController@store"
Operations,GET|HEAD,admin/membership/member-types/trashed,member-types.trashed,"App\Http\Controllers\App\MemberTypeController@trashed"
Operations,DELETE,admin/membership/member-types/{id}/delete,member-types.destroy,"App\Http\Controllers\App\MemberTypeController@destroy"
Operations,POST,admin/membership/member-types/{id}/update2,member-types.update2,"App\Http\Controllers\App\MemberTypeController@update"
Operations,GET|HEAD,admin/membership/monthly-maintenance-fee-report,membership.monthly-maintenance-fee-report,"App\Http\Controllers\MemberFeeRevenueController@monthlyMaintenanceFeeReport"
Operations,GET|HEAD,admin/membership/monthly-maintenance-fee-report/print,membership.monthly-maintenance-fee-report.print,"App\Http\Controllers\MemberFeeRevenueController@monthlyMaintenanceFeeReportPrint"
Operations,GET|HEAD,admin/membership/new-year-eve-report,membership.new-year-eve-report,"App\Http\Controllers\MemberFeeRevenueController@newYearEveReport"
Operations,GET|HEAD,admin/membership/new-year-eve-report/data,membership.new-year-eve-report.data,"App\Http\Controllers\MemberFeeRevenueController@newYearEveReportData"
Operations,GET|HEAD,admin/membership/new-year-eve-report/print,membership.new-year-eve-report.print,"App\Http\Controllers\MemberFeeRevenueController@newYearEveReportPrint"
Operations,GET|HEAD,admin/membership/partners-affiliates,admin.membership.partners-affiliates.index,"App\Http\Controllers\Admin\PartnerAffiliateController@index"
Operations,POST,admin/membership/partners-affiliates,admin.membership.partners-affiliates.store,"App\Http\Controllers\Admin\PartnerAffiliateController@store"
Operations,GET|HEAD,admin/membership/partners-affiliates/create,admin.membership.partners-affiliates.create,"App\Http\Controllers\Admin\PartnerAffiliateController@create"
Operations,POST,admin/membership/partners-affiliates/restore/{id},admin.membership.partners-affiliates.restore,"App\Http\Controllers\Admin\PartnerAffiliateController@restore"
Operations,GET|HEAD,admin/membership/partners-affiliates/search,admin.membership.partners-affiliates.search,"App\Http\Controllers\Admin\PartnerAffiliateController@search"
Operations,GET|HEAD,admin/membership/partners-affiliates/trashed,admin.membership.partners-affiliates.trashed,"App\Http\Controllers\Admin\PartnerAffiliateController@trashed"
Operations,GET|HEAD,admin/membership/partners-affiliates/{partners_affiliate},admin.membership.partners-affiliates.show,"App\Http\Controllers\Admin\PartnerAffiliateController@show"
Operations,PUT|PATCH,admin/membership/partners-affiliates/{partners_affiliate},admin.membership.partners-affiliates.update,"App\Http\Controllers\Admin\PartnerAffiliateController@update"
Operations,DELETE,admin/membership/partners-affiliates/{partners_affiliate},admin.membership.partners-affiliates.destroy,"App\Http\Controllers\Admin\PartnerAffiliateController@destroy"
Operations,GET|HEAD,admin/membership/partners-affiliates/{partners_affiliate}/edit,admin.membership.partners-affiliates.edit,"App\Http\Controllers\Admin\PartnerAffiliateController@edit"
Operations,GET|HEAD,admin/membership/payment-order-data/{invoiceId},member.orderhistory.invoice,"App\Http\Controllers\TransactionController@PaymentOrderData"
Operations,GET|HEAD,admin/membership/payments,membership.allpayment,"App\Http\Controllers\PaymentController@index"
Operations,POST,admin/membership/payments/store,membership.payment.store,"App\Http\Controllers\PaymentController@store"
Operations,GET|HEAD,admin/membership/pending-maintenance-quarters-report,membership.pending-maintenance-quarters-report,"App\Http\Controllers\MemberFeeRevenueController@pendingMaintenanceQuartersReport"
